reporter_name,reporter_code,year,classification,classification_version,product_code,mtn_categories,partner_code,partner_name,value
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C626,Timor-Leste,9468459
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C858,Uruguay,581419793
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C084,Belize,29586296
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C084,Belize,53538953
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C780,"Trinidad and Tobago",43540446
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C710,"South Africa",587004681
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C604,Peru,4469971659
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C070,"Bosnia and Herzegovina",5398551
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C598,"Papua New Guinea",73868606
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C710,"South Africa",645416222
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C682,"Saudi Arabia, Kingdom of",8675294
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C188,"Costa Rica",1724009067
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C222,"El Salvador",257369037
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C418,"Lao People's Democratic Republic",3442494
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C516,Namibia,762414
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C554,"New Zealand",3410446188
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C807,"North Macedonia",23902263
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C020,Andorra,3075448
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C634,Qatar,18418
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C702,Singapore,3171649765
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C400,Jordan,48008891
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C716,Zimbabwe,60256777
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C422,"Lebanese Republic",53020800
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C662,"Saint Lucia",3693681
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C860,Uzbekistan,7952746
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C484,Mexico,48609195169
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C893,Montenegro,4635589
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C634,Qatar,39200
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C170,Colombia,4245886361
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C558,Nicaragua,1306974372
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C388,Jamaica,192769273
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C152,Chile,2765509657
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C064,Bhutan,60706
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C214,"Dominican Republic",1617131935
